tau,precision,recall,f1,tpr,fpr,youden_j
0.02420035,0.5656706045865184,0.996328029375765,0.7216312056737588,0.996328029375643,0.7649938800488659,0.2313341493267771
0.03397876,0.5672473867595819,0.996328029375765,0.7229129662522202,0.996328029375643,0.7600979192165532,0.2362301101590898
0.04375717,0.5688329839273235,0.996328029375765,0.7241992882562278,0.996328029375643,0.7552019583842404,0.2411260709914026
0.05353558,0.56962911126662,0.996328029375765,0.7248441674087266,0.996328029375643,0.7527539779680841,0.24357405140755894
0.06331399,0.56962911126662,0.996328029375765,0.7248441674087266,0.996328029375643,0.7527539779680841,0.24357405140755894
0.0730924,0.5716292134831461,0.996328029375765,0.7264614011601963,0.996328029375643,0.7466340269276931,0.24969400244794993
0.08287078,0.5728360309641097,0.996328029375765,0.7274352100089365,0.996328029375643,0.7429620563034586,0.25336597307218445
0.09264919,0.5744530698659139,0.996328029375765,0.7287376902417189,0.996328029375643,0.7380660954711459,0.25826193390449714
0.1024276,0.5745583038869257,0.9951040391676866,0.728494623655914,0.9951040391675648,0.7368421052630677,0.25826193390449714
0.11220601,0.5754783841247342,0.9938800489596084,0.7289048473967684,0.9938800489594867,0.7331701346388331,0.2607099143206536
0.12198442,0.577524893314367,0.9938800489596084,0.7305443094916779,0.9938800489594867,0.7270501835984422,0.26682986536104447
0.13176283,0.577524893314367,0.9938800489596084,0.7305443094916779,0.9938800489594867,0.7270501835984422,0.26682986536104447
0.14154124,0.58,0.9938800489596084,0.7325214253495715,0.9938800489594867,0.719706242349973,0.2741738066095136
0.15131965,0.5812455261274159,0.9938800489596084,0.7335140018066847,0.9938800489594867,0.7160342717257385,0.27784577723374815
0.16109806,0.5815959741193386,0.9902080783353733,0.7327898550724637,0.990208078335252,0.712362301101504,0.27784577723374804
0.17087644,0.5822510822510822,0.9877600979192166,0.7326373127553336,0.9877600979190957,0.7086903304772694,0.2790697674418263
0.18065488,0.583756345177665,0.98531211750306,0.7331511839708561,0.9853121175029393,0.7025703794368785,0.28274173806606084
0.19043326,0.5850290697674418,0.98531211750306,0.7341541267669859,0.9853121175029393,0.6988984088126439,0.2864137086902955
0.20021164,0.587162654996353,0.98531211750306,0.7358318098720292,0.9853121175029393,0.692778457772253,0.29253365973068635
0.20999008,0.5878477306002928,0.9828641370869033,0.7356848373797527,0.982864137086783,0.6891064871480185,0.2937576499387645
0.21976846,0.5897058823529412,0.981640146878825,0.7367937528709233,0.9816401468787047,0.6829865361076275,0.2986536107710772
0.2295469,0.5920177383592018,0.9804161566707467,0.7382488479262673,0.9804161566706265,0.6756425948591583,0.3047735618114682
0.23932528,0.593170007423905,0.97796817625459,0.7384473197781886,0.9779681762544702,0.6707466340268456,0.30722154222762454
0.24910372,0.5953627524308153,0.9742962056303549,0.7390900649953575,0.9742962056302357,0.6621787025702983,0.31211750305993735
0.2588821,0.5974416854778029,0.9718482252141983,0.7399813606710158,0.9718482252140793,0.6548347613218293,0.31701346389225005
0.26866055,0.5992452830188679,0.9718482252141983,0.7413632119514473,0.9718482252140793,0.6499388004895165,0.32190942472456285
0.27843893,0.601213040181956,0.9706242350061199,0.7425093632958801,0.9706242350060011,0.6438188494491256,0.32680538555687555
0.2882173,0.6018306636155606,0.9657282741738066,0.7415413533834586,0.9657282741736883,0.6389228886168128,0.32680538555687555
0.29799575,0.602760736196319,0.9620563035495716,0.7411598302687411,0.9620563035494538,0.6340269277845001,0.3280293757649537
